account_id,risk_label,txn_count,velocity_per_hour,total_sent,total_received,pass_through_ratio,io_ratio,unique_senders,unique_receivers,avg_txn_amount,max_txn_amount,income_mismatch,account_age_days,kyc_match_score,device_shared_count,is_in_syndicate,dormancy_burst_score,beneficiary_churn_rate,structuring_score
M00001,1,5,0.20833333333333334,45000.0,110000.0,0.4090909090909091,2.4444444444444446,2,3,31000.0,60000.0,6.433877288413172,10.0,0.47,6,1,0.0,0.0,0.0
M00002,1,10,0.4166666666666667,140000.0,222000.0,0.6306306306306306,1.5857142857142856,4,3,36200.0,95000.0,10.870097439161729,36.0,0.45,6,1,0.0,0.0,0.0
M00003,1,11,0.4583333333333333,150000.0,326000.0,0.4601226993865031,2.1733333333333333,6,3,43272.72727272727,96000.0,27.585039769842613,62.0,0.52,6,1,0.0,0.0,0.0
M00004,1,12,0.5,65000.0,354498.0,0.18335787507969015,5.4538153846153845,5,2,34958.166666666664,100999.0,36.73554404145078,23.0,0.6,6,1,0.09090909090909091,0.5,0.0
M00005,1,13,0.5416666666666666,90000.0,312499.0,0.28800092160294916,3.472211111111111,7,1,30961.46153846154,75500.0,21.954404945904173,62.0,0.5,6,1,0.0,0.0,0.0
M00006,1,22,0.9166666666666666,100000.0,1248996.0,0.08006430765190602,12.48996,13,2,61318.0,101000.0,152.80107658429165,19.0,0.46,6,1,0.0,0.0,0.0
M00007,1,9,0.375,85000.0,302500.0,0.2809917355371901,3.5588235294117645,6,1,43055.555555555555,96000.0,12.977819726285984,76.0,0.44,6,1,0.0,0.0,0.0
M00008,1,32,1.3333333333333333,145000.0,1431494.0,0.10129277524041316,9.872372413793103,19,3,49265.4375,101000.0,79.04439536167862,52.0,0.53,6,1,0.03225806451612903,0.3333333333333333,0.0
M00009,1,6,0.25,135000.0,220000.0,0.6136363636363636,1.6296296296296295,3,3,59166.666666666664,100000.0,11.726453813762593,12.0,0.43,6,1,0.0,0.0,0.0
M00010,1,31,1.2916666666666667,120000.0,1180996.0,0.10160915024267653,9.841633333333334,17,2,41967.6129032258,101000.0,120.31336593317033,23.0,0.61,6,1,0.0,0.0,0.0
M00011,1,18,0.75,235000.0,554497.0,0.4238075228540461,2.3595617021276594,8,4,43860.944444444445,95000.0,33.01953194783541,58.0,0.32,6,1,0.058823529411764705,0.0,0.0
M00012,1,28,1.1666666666666667,170000.0,1205495.0,0.14102090842351067,7.0911470588235295,17,2,49124.82142857143,100500.0,62.48030475795584,87.0,0.52,6,1,0.0,0.0,0.0
M00013,1,19,0.7916666666666666,90000.0,558496.0,0.1611470807311064,6.205511111111111,10,2,34131.36842105263,100999.0,31.214844623295328,9.0,0.6,6,1,0.0,0.0,0.0
M00014,1,16,0.6666666666666666,180000.0,709999.0,0.2535214838330758,3.944438888888889,9,3,55624.9375,101000.0,61.407974398892925,7.0,0.47,6,1,0.0,0.0,0.0
M00015,1,7,0.2916666666666667,150000.0,135999.0,1.1029492863918118,0.90666,2,3,40857.0,60000.0,14.620404214147495,27.0,0.58,6,1,0.0,0.0,0.0
M00016,1,46,1.9166666666666667,30000.0,2225493.0,0.013480159227640797,74.1831,24,2,49032.45652173913,101000.0,102.03534913575719,83.0,0.53,6,1,0.0,0.0,0.0
M00017,1,17,0.7083333333333334,70000.0,899496.0,0.07782135773811112,12.849942857142857,13,2,57029.17647058824,100999.0,37.83050847457627,17.0,0.68,6,1,0.0625,0.5,0.0
M00018,1,24,1.0,90000.0,1153493.0,0.0780238805090278,12.816588888888889,15,3,51812.208333333336,100999.0,73.43814859616731,70.0,0.58,6,1,0.043478260869565216,0.0,0.0
M00019,1,17,0.7083333333333334,50000.0,792998.0,0.06305186141705275,15.85996,11,1,49588.117647058825,100500.0,35.241223002399785,39.0,0.47,6,1,0.0,0.0,0.0
M00020,1,11,0.4583333333333333,245000.0,233499.0,1.04925502892946,0.9530571428571428,5,4,43499.90909090909,76000.0,16.121168185584093,67.0,0.4,6,1,0.1,0.25,0.0
M00021,1,45,1.875,150000.0,2099484.0,0.07144612676257595,13.99656,20,3,49988.53333333333,100999.0,212.47687481024187,20.0,0.35,6,1,0.0,0.0,0.0
M00022,1,11,0.4583333333333333,100000.0,635995.0,0.1572339405184003,6.35995,5,2,66908.63636363637,101000.0,53.893314125921535,1.0,0.57,6,1,0.1,0.5,0.0
M00023,1,13,0.5416666666666666,185000.0,318499.0,0.5808495474083121,1.7216162162162163,6,4,38730.692307692305,100500.0,27.50898255311798,25.0,0.65,6,1,0.0,0.0,0.0
M00024,1,13,0.5416666666666666,50000.0,528496.0,0.09460809542550937,10.56992,8,1,44499.692307692305,101000.0,31.277504882523523,44.0,0.69,6,1,0.0,0.0,0.0
M00025,1,11,0.4583333333333333,135000.0,438499.0,0.3078684329952862,3.2481407407407406,6,2,52136.27272727273,95999.0,18.356455123911587,80.0,0.51,6,1,0.0,0.0,0.0
