account_id,account_type,account_age_days,kyc_match_score,device_id,avg_monthly_income,risk_label,city,syndicate_id
M00001,SAVINGS,10,0.47,DEV_MULE_001,17096,1,Gurugram,SYN_001
M00002,SAVINGS,36,0.45,DEV_MULE_002,20422,1,Noida,SYN_002
M00003,SAVINGS,62,0.52,DEV_MULE_003,11817,1,Jamtara,SYN_003
M00004,SAVINGS,23,0.6,DEV_MULE_004,9649,1,Mewat,SYN_004
M00005,CURRENT,62,0.5,DEV_MULE_005,14233,1,Gurugram,SYN_005
M00006,SAVINGS,19,0.46,DEV_MULE_006,8173,1,Noida,SYN_006
M00007,CURRENT,76,0.44,DEV_MULE_007,23308,1,Jamtara,SYN_007
M00008,SAVINGS,52,0.53,DEV_MULE_008,18109,1,Mewat,SYN_008
M00009,SAVINGS,12,0.43,DEV_MULE_009,18760,1,Gurugram,SYN_009
M00010,SAVINGS,23,0.61,DEV_MULE_010,9815,1,Noida,SYN_010
M00011,CURRENT,58,0.32,DEV_MULE_011,16792,1,Jamtara,SYN_011
M00012,SAVINGS,87,0.52,DEV_MULE_012,19293,1,Mewat,SYN_012
M00013,CURRENT,9,0.6,DEV_MULE_013,17891,1,Gurugram,SYN_013
M00014,SAVINGS,7,0.47,DEV_MULE_014,11561,1,Noida,SYN_014
M00015,SAVINGS,27,0.58,DEV_MULE_015,9301,1,Jamtara,SYN_015
M00016,SAVINGS,83,0.53,DEV_MULE_016,21810,1,Mewat,SYN_016
M00017,CURRENT,17,0.68,DEV_MULE_017,23776,1,Gurugram,SYN_017
M00018,SAVINGS,70,0.58,DEV_MULE_018,15706,1,Noida,SYN_018
M00019,SAVINGS,39,0.47,DEV_MULE_019,22501,1,Jamtara,SYN_019
M00020,SAVINGS,67,0.4,DEV_MULE_020,14483,1,Mewat,SYN_020
M00021,SAVINGS,20,0.35,DEV_MULE_021,9880,1,Gurugram,SYN_021
M00022,SAVINGS,1,0.57,DEV_MULE_022,11800,1,Noida,SYN_022
M00023,SAVINGS,25,0.65,DEV_MULE_023,11577,1,Jamtara,SYN_023
M00024,CURRENT,44,0.69,DEV_MULE_024,16896,1,Mewat,SYN_024
M00025,SAVINGS,80,0.51,DEV_MULE_025,23887,1,Gurugram,SYN_025
M00026,SAVINGS,19,0.69,DEV_MULE_026,16369,1,Noida,SYN_026
M00027,SAVINGS,14,0.42,DEV_MULE_027,23933,1,Jamtara,SYN_027
M00028,SAVINGS,3,0.66,DEV_MULE_028,8727,1,Mewat,SYN_028
M00029,SAVINGS,16,0.66,DEV_MULE_029,15290,1,Gurugram,SYN_029
M00030,SAVINGS,8,0.37,DEV_MULE_030,18349,1,Noida,SYN_030
M00031,SAVINGS,60,0.53,DEV_MULE_031,9243,1,Jamtara,SYN_031
M00032,CURRENT,64,0.48,DEV_MULE_032,8517,1,Mewat,SYN_032
M00033,SAVINGS,84,0.54,DEV_MULE_033,12335,1,Gurugram,SYN_033
M00034,SAVINGS,35,0.63,DEV_MULE_034,23196,1,Noida,SYN_034
M00035,SAVINGS,47,0.67,DEV_MULE_035,9323,1,Jamtara,SYN_035
M00036,CURRENT,5,0.31,DEV_MULE_001,14023,1,Mewat,SYN_001
M00037,SAVINGS,49,0.45,DEV_MULE_002,19993,1,Gurugram,SYN_002
M00038,SAVINGS,59,0.64,DEV_MULE_003,21413,1,Noida,SYN_003
M00039,SAVINGS,1,0.31,DEV_MULE_004,9205,1,Jamtara,SYN_004
M00040,SAVINGS,69,0.7,DEV_MULE_005,23946,1,Mewat,SYN_005
M00041,SAVINGS,53,0.68,DEV_MULE_006,21594,1,Gurugram,SYN_006
M00042,SAVINGS,78,0.38,DEV_MULE_007,12023,1,Noida,SYN_007
M00043,SAVINGS,4,0.39,DEV_MULE_008,18747,1,Jamtara,SYN_008
M00044,SAVINGS,72,0.31,DEV_MULE_009,15970,1,Mewat,SYN_009
M00045,SAVINGS,3,0.51,DEV_MULE_010,21634,1,Gurugram,SYN_010
M00046,SAVINGS,5,0.34,DEV_MULE_011,20669,1,Noida,SYN_011
M00047,SAVINGS,47,0.47,DEV_MULE_012,20554,1,Jamtara,SYN_012
M00048,SAVINGS,75,0.39,DEV_MULE_013,10181,1,Mewat,SYN_013
M00049,SAVINGS,38,0.54,DEV_MULE_014,18186,1,Gurugram,SYN_014
M00050,SAVINGS,51,0.66,DEV_MULE_015,13572,1,Noida,SYN_015
M00051,SAVINGS,88,0.66,DEV_MULE_016,12767,1,Jamtara,SYN_016
M00052,SAVINGS,81,0.68,DEV_MULE_017,10353,1,Mewat,SYN_017
M00053,CURRENT,74,0.61,DEV_MULE_018,9059,1,Gurugram,SYN_018
M00054,SAVINGS,6,0.5,DEV_MULE_019,13260,1,Noida,SYN_019
M00055,SAVINGS,75,0.33,DEV_MULE_020,10062,1,Jamtara,SYN_020
M00056,SAVINGS,75,0.36,DEV_MULE_021,18253,1,Mewat,SYN_021
M00057,SAVINGS,56,0.46,DEV_MULE_022,21989,1,Gurugram,SYN_022
M00058,SAVINGS,32,0.37,DEV_MULE_023,11076,1,Noida,SYN_023
M00059,SAVINGS,5,0.44,DEV_MULE_024,13561,1,Jamtara,SYN_024
M00060,SAVINGS,70,0.35,DEV_MULE_025,15372,1,Mewat,SYN_025
M00061,SAVINGS,34,0.35,DEV_MULE_026,13281,1,Gurugram,SYN_026
M00062,SAVINGS,26,0.62,DEV_MULE_027,18046,1,Noida,SYN_027
M00063,SAVINGS,63,0.45,DEV_MULE_028,8041,1,Jamtara,SYN_028
M00064,CURRENT,8,0.6,DEV_MULE_029,10952,1,Mewat,SYN_029
