atm_id,bank,city,lat,long,area_type
ATM_001,HDFC Bank,Gurugram,28.471421,77.023282,COMMERCIAL_MARKET
ATM_002,Axis Bank,Gurugram,28.475045,77.063153,RESIDENTIAL_COLONY
ATM_003,Punjab National Bank,Gurugram,28.45388,77.020981,RESIDENTIAL_COLONY
ATM_004,HDFC Bank,Gurugram,28.497401,77.045018,INDUSTRIAL_AREA
ATM_005,HDFC Bank,Gurugram,28.448233,77.039621,TRANSIT_HUB_METRO
ATM_006,Canara Bank,Gurugram,28.448378,77.015422,COMMERCIAL_MARKET
ATM_007,State Bank of India,Gurugram,28.465307,76.980681,COMMERCIAL_MARKET
ATM_008,Punjab National Bank,Gurugram,28.418102,77.013105,RESIDENTIAL_COLONY
ATM_009,State Bank of India,Gurugram,28.435192,77.034142,TRANSIT_HUB_METRO
ATM_010,Punjab National Bank,Gurugram,28.437707,76.992705,INDUSTRIAL_AREA
ATM_011,Canara Bank,Gurugram,28.494676,77.021181,RESIDENTIAL_COLONY
ATM_012,Union Bank of India,Gurugram,28.461121,76.992406,TRANSIT_HUB_METRO
ATM_013,Axis Bank,Gurugram,28.446435,77.029262,COMMERCIAL_MARKET
ATM_014,ICICI Bank,Gurugram,28.431876,77.035617,INDUSTRIAL_AREA
ATM_015,Canara Bank,Gurugram,28.445085,77.019599,HIGHWAY_OUTSKIRTS
ATM_016,Axis Bank,Noida,28.521059,77.435455,RESIDENTIAL_COLONY
ATM_017,Punjab National Bank,Noida,28.535176,77.365615,HIGHWAY_OUTSKIRTS
ATM_018,HDFC Bank,Noida,28.555241,77.3617,COMMERCIAL_MARKET
ATM_019,Canara Bank,Noida,28.540513,77.343968,COMMERCIAL_MARKET
ATM_020,Bank of Baroda,Noida,28.503624,77.395725,HIGHWAY_OUTSKIRTS
ATM_021,Axis Bank,Noida,28.553223,77.395113,COMMERCIAL_MARKET
ATM_022,Union Bank of India,Noida,28.532724,77.383774,TRANSIT_HUB_METRO
ATM_023,HDFC Bank,Noida,28.500015,77.373724,RURAL_JUNCTION
ATM_024,HDFC Bank,Noida,28.524445,77.416371,TRANSIT_HUB_METRO
ATM_025,Axis Bank,Noida,28.543747,77.348687,INDUSTRIAL_AREA
ATM_026,Bank of Baroda,Noida,28.543278,77.381758,TRANSIT_HUB_METRO
ATM_027,Punjab National Bank,Noida,28.519254,77.40568,INDUSTRIAL_AREA
ATM_028,HDFC Bank,Noida,28.560244,77.413351,COMMERCIAL_MARKET
ATM_029,Punjab National Bank,Noida,28.515359,77.383579,HIGHWAY_OUTSKIRTS
ATM_030,HDFC Bank,Noida,28.54345,77.414413,RESIDENTIAL_COLONY
ATM_031,HDFC Bank,Jamtara,23.954833,86.799929,RURAL_JUNCTION
ATM_032,Axis Bank,Jamtara,23.944799,86.783761,RURAL_JUNCTION
ATM_033,Bank of Baroda,Jamtara,23.9755,86.8246,RESIDENTIAL_COLONY
ATM_034,Bank of Baroda,Jamtara,23.961348,86.818957,HIGHWAY_OUTSKIRTS
ATM_035,Punjab National Bank,Jamtara,23.968286,86.792578,INDUSTRIAL_AREA
ATM_036,Axis Bank,Jamtara,23.968282,86.827509,INDUSTRIAL_AREA
ATM_037,HDFC Bank,Jamtara,23.961927,86.827934,TRANSIT_HUB_METRO
ATM_038,ICICI Bank,Jamtara,23.920584,86.81605,TRANSIT_HUB_METRO
ATM_039,Punjab National Bank,Jamtara,23.963893,86.798116,RESIDENTIAL_COLONY
ATM_040,Union Bank of India,Jamtara,23.963968,86.771099,RURAL_JUNCTION
ATM_041,Axis Bank,Jamtara,23.958985,86.808614,INDUSTRIAL_AREA
ATM_042,Punjab National Bank,Jamtara,23.986146,86.794608,INDUSTRIAL_AREA
ATM_043,Bank of Baroda,Mewat,28.09283,76.984965,COMMERCIAL_MARKET
ATM_044,Punjab National Bank,Mewat,28.127308,77.001575,COMMERCIAL_MARKET
ATM_045,Bank of Baroda,Mewat,28.098405,77.005265,RURAL_JUNCTION
ATM_046,Axis Bank,Mewat,28.110942,77.014373,COMMERCIAL_MARKET
ATM_047,Punjab National Bank,Mewat,28.094959,76.988447,TRANSIT_HUB_METRO
ATM_048,Bank of Baroda,Mewat,28.101158,76.96573,RESIDENTIAL_COLONY
ATM_049,Union Bank of India,Mewat,28.114922,77.000221,RURAL_JUNCTION
ATM_050,Union Bank of India,Mewat,28.109102,76.990308,RESIDENTIAL_COLONY
ATM_051,Axis Bank,Mewat,28.080693,76.986587,RESIDENTIAL_COLONY
ATM_052,Punjab National Bank,Mewat,28.102146,76.978954,INDUSTRIAL_AREA
ATM_053,Axis Bank,Mewat,28.105774,77.003081,INDUSTRIAL_AREA
ATM_054,Canara Bank,Mewat,28.146724,76.998492,TRANSIT_HUB_METRO
ATM_055,Canara Bank,Bengaluru,12.979842,77.592218,HIGHWAY_OUTSKIRTS
ATM_056,Punjab National Bank,Bengaluru,12.910199,77.593752,RESIDENTIAL_COLONY
ATM_057,Union Bank of India,Bengaluru,12.973527,77.673424,COMMERCIAL_MARKET
ATM_058,State Bank of India,Bengaluru,12.965444,77.60425,COMMERCIAL_MARKET
ATM_059,ICICI Bank,Bengaluru,12.970489,77.557202,INDUSTRIAL_AREA
ATM_060,ICICI Bank,Bengaluru,13.00817,77.618662,INDUSTRIAL_AREA
ATM_061,Canara Bank,Bengaluru,12.996913,77.5655,TRANSIT_HUB_METRO
ATM_062,HDFC Bank,Bengaluru,13.016489,77.549741,RURAL_JUNCTION
ATM_063,Canara Bank,Bengaluru,12.990379,77.664695,TRANSIT_HUB_METRO
ATM_064,Union Bank of India,Bengaluru,12.939903,77.576478,TRANSIT_HUB_METRO
ATM_065,Axis Bank,Bengaluru,12.974789,77.578489,TRANSIT_HUB_METRO
ATM_066,State Bank of India,Bengaluru,12.921979,77.596794,INDUSTRIAL_AREA
