txn_id,sender_id,receiver_id,amount,timestamp,channel,is_fraud,victim_id,txn_hour
TXN_04295,L00515,L00706,1333,2026-06-01 15:10:49,UPI,0,,15
TXN_03032,M00117,M00152,25000,2026-06-01 15:41:00,UPI,1,,15
TXN_02839,M00176,M00106,35000,2026-06-01 16:23:00,UPI,1,,16
TXN_02981,M00028,M00168,35000,2026-06-01 17:32:00,IMPS,1,,17
TXN_03488,M00052,M00017,50000,2026-06-01 18:04:00,UPI,1,,18
TXN_03091,M00065,M00170,60000,2026-06-01 18:18:00,IMPS,1,,18
TXN_02636,VACC_0471,M00079,96000,2026-06-01 18:41:00,UPI,1,VIC_0471,18
TXN_03622,L00782,L00631,10252,2026-06-01 18:42:00,UPI,0,,18
TXN_02933,M00045,M00080,15000,2026-06-01 18:51:00,UPI,1,,18
TXN_02637,VACC_0471,M00184,25999,2026-06-01 19:09:00,IMPS,1,VIC_0471,19
TXN_04640,L00432,L00762,1408,2026-06-01 19:25:03,IMPS,0,,19
TXN_04029,L00086,L00778,5298,2026-06-01 19:39:48,UPI,0,,19
TXN_03597,L00933,L00104,5415,2026-06-01 19:47:34,IMPS,0,,19
TXN_04988,L00486,L00981,40381,2026-06-01 19:54:04,UPI,0,,19
TXN_02318,VACC_0418,M00105,50999,2026-06-01 20:22:00,UPI,1,VIC_0418,20
TXN_02929,M00041,M00111,60000,2026-06-01 20:48:00,IMPS,1,,20
TXN_02319,VACC_0418,M00175,75000,2026-06-01 20:55:00,UPI,1,VIC_0418,20
TXN_02320,VACC_0418,M00175,100999,2026-06-01 21:11:00,UPI,1,VIC_0418,21
TXN_02532,VACC_0452,M00174,95999,2026-06-01 21:11:00,UPI,1,VIC_0452,21
TXN_03557,L00873,L00593,835,2026-06-01 21:15:48,UPI,0,,21
TXN_03485,M00020,M00195,50000,2026-06-01 21:30:00,UPI,1,,21
TXN_03402,M00029,M00099,60000,2026-06-01 21:46:00,IMPS,1,,21
TXN_02990,M00187,M00082,35000,2026-06-01 22:56:00,IMPS,1,,22
TXN_04113,L00716,L00316,511,2026-06-01 23:11:22,UPI,0,,23
TXN_00369,VACC_0074,M00043,16000,2026-06-01 23:35:00,UPI,1,VIC_0074,23
