withdrawal_id,txn_id,atm_id,lat,long,amount_withdrawn,withdrawal_timestamp,cashout_pattern,withdrawal_hour
WTH_05394,TXN_02636,ATM_101,13.141425,78.141473,15000,2026-06-01 19:16:00,SYNDICATE_HUB,19
WTH_05395,TXN_02636,ATM_101,13.141425,78.141473,15000,2026-06-01 19:25:00,SYNDICATE_HUB,19
WTH_05396,TXN_02636,ATM_101,13.141425,78.141473,15000,2026-06-01 19:26:00,SYNDICATE_HUB,19
WTH_05397,TXN_02637,ATM_031,23.954833,86.799929,5500,2026-06-01 20:08:00,SYNDICATE_HUB,20
WTH_05398,TXN_02637,ATM_031,23.954833,86.799929,15000,2026-06-01 20:19:00,SYNDICATE_HUB,20
WTH_04744,TXN_02318,ATM_147,11.002655,76.97619,15000,2026-06-01 21:15:00,VICTIM_CITY,21
WTH_04746,TXN_02319,ATM_096,13.070198,80.294679,13500,2026-06-01 21:24:00,SYNDICATE_HUB,21
WTH_04745,TXN_02318,ATM_147,11.002655,76.97619,15000,2026-06-01 21:25:00,VICTIM_CITY,21
WTH_04747,TXN_02319,ATM_096,13.070198,80.294679,15000,2026-06-01 21:33:00,SYNDICATE_HUB,21
WTH_05173,TXN_02532,ATM_150,9.950709,76.282411,15000,2026-06-01 22:13:00,VICTIM_CITY,22
WTH_05174,TXN_02532,ATM_150,9.950709,76.282411,15000,2026-06-01 22:22:00,VICTIM_CITY,22
WTH_04748,TXN_02320,ATM_077,17.363239,78.494132,15000,2026-06-01 22:35:00,SYNDICATE_HUB,22
WTH_04749,TXN_02320,ATM_077,17.363239,78.494132,15000,2026-06-01 22:42:00,SYNDICATE_HUB,22
WTH_04750,TXN_02320,ATM_077,17.363239,78.494132,15000,2026-06-01 22:43:00,SYNDICATE_HUB,22
WTH_00768,TXN_00369,ATM_038,23.920584,86.81605,10000,2026-06-01 23:46:00,SYNDICATE_HUB,23
WTH_00769,TXN_00369,ATM_038,23.920584,86.81605,5500,2026-06-01 23:49:00,SYNDICATE_HUB,23
