account_id,risk_label,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31
L00001,0,2.4092476,0.2672277,2.2995822,0.0,0.0,1.7277588,0.7917063,3.1462343,0.0,0.0,1.3813419,0.0,3.0580547,0.002415046,0.0,2.0560546,1.5654331,0.0,1.2338271,0.59252375,0.024334326,2.9987104,0.0,0.0,0.0,3.0952477,0.0,1.5075172,0.0,1.2969775,0.0,0.12959644
L00002,0,2.718523,0.22591963,2.6321867,0.0,0.0,1.9486367,0.8156483,3.5654137,0.0,0.0,1.4190297,0.0,3.4498723,0.084591255,0.0,2.15394,1.7017776,0.0,1.3575113,0.59090847,0.059212,3.4079876,0.0,0.0,0.022685997,3.4748983,0.0,1.5781202,0.0,1.3987108,0.0,0.21839811
L00003,0,2.8053987,0.3044854,2.6719413,0.0,0.0,1.9530165,0.885401,3.6201448,0.0,0.0,1.5524894,0.0,3.4631417,0.0,0.0,2.287975,1.7811668,0.0,1.3786523,0.6539893,0.0,3.4701264,0.0,0.0,0.0,3.5381694,0.0,1.6698638,0.0,1.4701016,0.0,0.20185389
L00004,0,2.7992487,0.27480942,2.7778678,0.0,0.0,1.9429579,0.76792943,3.660704,0.0,0.0,1.2666796,0.0,3.773249,0.30842388,0.0,2.2471163,1.5607587,0.18476585,1.2949679,0.511493,0.2767824,3.746291,0.0,0.0,0.06389897,3.5931602,0.0,1.6052127,0.22004786,1.5380104,0.0,0.22704
L00005,0,2.0832708,0.32405576,2.0198767,0.0,0.0,1.4540681,0.68620324,2.647622,0.0,0.0,1.1539853,0.0,2.5423653,0.008248642,0.0,1.6404674,1.3468713,0.0,1.0408897,0.54079795,0.0,2.521413,0.0,0.0,0.0,2.628139,0.0,1.2738776,0.0,1.1049788,0.0,0.14102267
L00006,0,3.8136833,0.0,3.6957788,0.0,0.0,2.810079,1.062902,4.902994,0.0,0.0,1.8162562,0.0,4.925993,0.39779449,0.0,2.953374,2.3072731,0.12839758,1.7882426,0.6960349,0.26897568,4.7242746,0.0,0.0,0.14465538,4.9129167,0.0,2.0411086,0.12654206,1.7585795,0.0,0.19276297
L00007,0,2.7731273,0.35435507,2.6814458,0.0,0.0,1.8000783,0.7979554,3.564058,0.0,0.0,1.3467087,0.0,3.4277072,0.072549894,0.0,2.1975975,1.6773131,0.0,1.2717206,0.5920942,0.040968955,3.3850975,0.0,0.0,0.022368498,3.4643745,0.0,1.5716032,0.0,1.449429,0.0,0.207409
L00008,0,2.8267229,0.4005667,2.563092,0.0,0.0,1.8866465,0.87248755,3.5366688,0.0,0.0,1.4786378,0.0,3.2867484,0.007366374,0.0,2.169827,1.6918044,0.0,1.3101702,0.6248535,0.0,3.452725,0.0,0.0,0.0,3.420175,0.0,1.6059154,0.0,1.4330418,0.0,0.22670418
L00009,0,2.9169164,0.23796025,2.8939035,0.0,0.0,1.9250304,0.77603304,3.7995348,0.0,0.0,1.2302549,0.0,3.7169363,0.3344466,0.0,2.262986,1.6881496,0.12645599,1.3225241,0.55495507,0.28476548,3.6100817,0.0,0.0,0.118383996,3.710392,0.0,1.5273734,0.12404734,1.4629223,0.0,0.20598382
L00010,0,3.3755245,0.2371014,3.2673247,0.0,0.0,2.254988,0.9711375,4.370529,0.0,0.0,1.6365484,0.0,4.163724,0.1330234,0.0,2.5989342,2.0330458,0.004546851,1.5885899,0.67216873,0.061539456,4.1637225,0.0,0.0,0.040618815,4.221926,0.0,1.8313341,0.0579229,1.6892166,0.0,0.2539842
