cell_id,city,lat_min,lat_max,lon_min,lon_max,center_lat,center_lon,is_syndicate_hub,atm_count,dist_hub_km,dist_atm_km,is_urban,hist_withdrawal_count_30d,hist_withdrawal_amount_30d,hist_unique_cases,avg_withdrawal_amount,weekend_ratio,peak_hour,city_complaints,historical_withdrawal_count,historical_withdrawal_amount,recent_7d_count,is_high_risk,nearest_atms,model_probability,dbscan_cluster_weight,historical_density,final_score
CELL_0123,Gurugram,28.44,28.46,77.02,77.04,28.45,77.03,1,3,1.11,0.4,1,54,612000.0,29,11333.33,0.24,0,41,136,1543000.0,9,1,"['ATM_003', 'ATM_005', 'ATM_013']",0.9997,0.865,0.5528,0.8699
CELL_0236,Kolar,13.14,13.16,78.14,78.16,13.15,78.15,1,5,2.47,0.34,1,129,1412500.0,63,10949.61,0.22,8,34,246,2780000.0,28,1,"['ATM_101', 'ATM_102', 'ATM_104']",1.0,0.5237,1.0,0.8571
CELL_0084,Chennai,13.08,13.1,80.28,80.3,13.09,80.29,1,3,2.24,0.42,1,58,663000.0,30,11431.03,0.28,8,30,140,1606000.0,9,1,"['ATM_087', 'ATM_088', 'ATM_098']",0.9993,0.7973,0.5691,0.8527
CELL_0411,Nellore,14.48,14.5,79.94,79.96,14.49,79.95,1,1,6.57,0.15,0,27,293000.0,12,10851.85,0.59,0,46,76,838000.0,17,1,['ATM_111'],0.9951,0.9514,0.3089,0.8447
CELL_0155,Hyderabad,17.34,17.36,78.5,78.52,17.35,78.51,1,2,4.61,0.42,1,32,361500.0,17,11296.88,0.34,22,40,63,700500.0,5,1,"['ATM_080', 'ATM_081']",0.9947,0.9313,0.2561,0.828
CELL_0102,Coimbatore,11.0,11.02,76.96,76.98,11.01,76.97,0,2,228.45,0.35,1,32,409500.0,16,12796.88,0.31,19,46,79,969500.0,23,1,"['ATM_144', 'ATM_147']",0.992,0.8656,0.3211,0.8199
CELL_0127,Gurugram,28.46,28.48,76.98,77.0,28.47,76.99,1,2,3.76,1.01,1,38,482000.0,20,12684.21,0.26,1,41,114,1373000.0,11,1,"['ATM_007', 'ATM_012']",0.9961,0.7593,0.4634,0.8185
CELL_0178,Hyderabad,17.4,17.42,78.54,78.56,17.41,78.55,1,1,7.27,0.31,1,16,176500.0,7,11031.25,0.56,7,40,54,597500.0,6,1,['ATM_084'],0.9804,0.9014,0.2195,0.8045
CELL_0432,Noida,28.52,28.54,77.38,77.4,28.53,77.39,1,1,0.62,0.68,1,32,381500.0,14,11921.88,0.38,9,39,51,614000.0,7,1,['ATM_022'],0.9702,0.8586,0.2073,0.7841
CELL_0301,Mewat,28.1,28.12,77.0,77.02,28.11,77.01,1,3,1.48,0.44,1,54,611000.0,24,11314.81,0.15,5,34,113,1321500.0,11,1,"['ATM_046', 'ATM_049', 'ATM_053']",0.9992,0.5845,0.4593,0.7668
CELL_0205,Jamtara,23.96,23.98,86.76,86.78,23.97,86.77,1,1,3.45,0.68,0,22,243000.0,10,11045.45,0.73,23,36,40,432500.0,4,1,['ATM_040'],0.9803,0.7981,0.1626,0.7621
CELL_0300,Mewat,28.1,28.12,76.98,77.0,28.11,76.99,1,1,0.5,0.1,1,24,254500.0,11,10604.17,0.17,0,34,46,535500.0,2,0,['ATM_050'],0.9134,0.8857,0.187,0.7598
CELL_0272,Kolkata,22.6,22.62,88.32,88.34,22.61,88.33,0,3,216.66,0.73,1,11,124500.0,5,11318.18,0.64,5,43,29,335000.0,5,1,"['ATM_134', 'ATM_136', 'ATM_142']",0.9992,0.7729,0.1179,0.755
CELL_0014,Bengaluru,12.92,12.94,77.6,77.62,12.93,77.61,1,1,4.92,0.85,0,34,400500.0,16,11779.41,0.44,4,33,54,634000.0,2,0,['ATM_067'],0.9644,0.7544,0.2195,0.7524
CELL_0169,Hyderabad,17.38,17.4,78.5,78.52,17.39,78.51,1,1,2.53,0.41,1,28,295500.0,13,10553.57,0.5,3,40,61,670500.0,7,1,['ATM_073'],0.9797,0.708,0.248,0.7518
CELL_0031,Bengaluru,12.96,12.98,77.58,77.6,12.97,77.59,1,1,0.53,1.12,0,31,337000.0,14,10870.97,0.26,0,33,44,499500.0,4,1,['ATM_055'],0.9046,0.8671,0.1789,0.7482
CELL_0110,Gurugram,28.4,28.42,77.0,77.02,28.41,77.01,1,1,5.74,0.95,1,14,178000.0,8,12714.29,0.71,4,41,38,451500.0,2,0,['ATM_008'],0.9883,0.7285,0.1545,0.7436
CELL_0439,Noida,28.54,28.56,77.38,77.4,28.55,77.39,1,2,1.62,0.61,1,42,499500.0,21,11892.86,0.14,1,39,110,1321500.0,27,1,"['ATM_021', 'ATM_026']",0.9943,0.5148,0.4472,0.741
CELL_0398,Nellore,14.42,14.44,79.98,80.0,14.43,79.99,1,2,1.45,0.24,0,27,289000.0,16,10703.7,0.37,6,46,58,642500.0,14,1,"['ATM_110', 'ATM_116']",0.9982,0.6491,0.2358,0.741
CELL_0238,Kolar,13.14,13.16,78.18,78.2,13.15,78.19,1,1,6.43,0.81,1,38,479500.0,18,12618.42,0.21,11,34,61,753500.0,3,1,['ATM_105'],0.9246,0.7632,0.248,0.7409
CELL_0208,Jamtara,23.96,23.98,86.82,86.84,23.97,86.83,1,3,2.88,0.32,1,51,560500.0,26,10990.2,0.2,8,36,133,1515000.0,12,1,"['ATM_033', 'ATM_036', 'ATM_037']",0.9993,0.4425,0.5407,0.7405
CELL_0206,Jamtara,23.96,23.98,86.78,86.8,23.97,86.79,1,2,1.55,0.32,1,46,568000.0,22,12347.83,0.37,10,36,99,1157000.0,7,1,"['ATM_035', 'ATM_039']",0.9975,0.5357,0.4024,0.7399
CELL_0117,Gurugram,28.42,28.44,77.02,77.04,28.43,77.03,1,2,3.3,0.59,1,51,612000.0,29,12000.0,0.39,1,41,97,1126500.0,5,1,"['ATM_009', 'ATM_014']",0.9983,0.5382,0.3943,0.7395
CELL_0131,Gurugram,28.46,28.48,77.06,77.08,28.47,77.07,1,1,4.4,0.87,1,3,31000.0,2,10333.33,0.67,4,41,35,400000.0,12,1,['ATM_002'],0.9722,0.7491,0.1423,0.7393
CELL_0190,Hyderabad,17.44,17.46,78.5,78.52,17.45,78.51,1,1,7.64,1.04,1,22,265500.0,10,12068.18,0.36,7,40,62,725000.0,2,0,['ATM_079'],0.9524,0.7066,0.252,0.7386
CELL_0122,Gurugram,28.44,28.46,77.0,77.02,28.45,77.01,1,2,1.94,0.56,1,48,548500.0,21,11427.08,0.29,23,41,92,1053000.0,9,1,"['ATM_006', 'ATM_015']",0.9961,0.5523,0.374,0.7385
CELL_0076,Chennai,13.06,13.08,80.28,80.3,13.07,80.29,1,2,2.52,0.51,0,26,334000.0,12,12846.15,0.31,1,30,76,917000.0,14,1,"['ATM_093', 'ATM_096']",0.9942,0.5941,0.3089,0.7371
CELL_0261,Kolkata,22.56,22.58,88.34,88.36,22.57,88.35,0,2,221.25,0.6,1,14,158000.0,7,11285.71,0.0,6,43,31,369500.0,4,1,"['ATM_139', 'ATM_140']",0.939,0.8064,0.126,0.7366
CELL_0147,Hyderabad,17.32,17.34,78.48,78.5,17.33,78.49,1,1,6.13,0.48,0,11,127500.0,6,11590.91,0.0,3,40,46,537000.0,6,1,['ATM_072'],0.8832,0.8504,0.187,0.7341
CELL_0135,Gurugram,28.48,28.5,77.02,77.04,28.49,77.03,1,1,3.41,1.01,1,33,394000.0,18,11939.39,0.39,9,41,45,543500.0,2,0,['ATM_011'],0.9661,0.715,0.1829,0.7341
