iter	Passed	Remaining
0	160	80291
1	168	41832
2	176	29182
3	183	22733
4	191	18911
5	197	16297
6	204	14420
7	213	13123
8	220	12010
9	227	11162
10	234	10436
11	242	9873
12	249	9356
13	257	8930
14	264	8554
15	272	8234
16	279	7928
17	284	7626
18	291	7375
19	296	7113
20	301	6866
21	306	6670
22	311	6466
23	316	6276
24	322	6122
25	327	5964
26	331	5815
27	337	5692
28	342	5560
29	347	5439
30	353	5343
31	358	5235
32	362	5130
33	366	5019
34	372	4954
35	377	4869
36	382	4786
37	388	4718
38	393	4653
39	398	4583
40	404	4532
41	410	4475
42	416	4421
43	420	4360
44	425	4300
45	431	4255
46	436	4203
47	440	4150
48	445	4100
49	451	4061
50	456	4017
51	461	3972
52	466	3935
53	471	3892
54	476	3851
55	482	3826
56	487	3791
57	492	3754
58	498	3727
59	503	3690
60	508	3656
61	514	3631
62	518	3598
63	523	3567
64	529	3542
65	534	3514
66	540	3489
67	545	3465
68	550	3437
69	553	3401
70	558	3376
71	563	3351
72	568	3323
73	572	3296
74	578	3276
75	582	3251
76	587	3225
77	591	3202
78	596	3180
79	601	3156
80	605	3132
81	610	3114
82	615	3093
83	620	3070
84	626	3057
85	630	3035
86	635	3014
87	639	2996
88	644	2977
89	649	2956
90	653	2937
91	659	2925
92	663	2905
93	668	2885
94	674	2873
95	678	2855
96	682	2836
97	688	2823
98	693	2807
99	697	2789
100	701	2772
101	707	2759
102	712	2744
103	716	2727
104	722	2716
105	726	2700
106	730	2684
107	737	2677
108	742	2663
109	746	2647
110	752	2636
111	757	2622
112	761	2608
113	767	2599
114	773	2588
115	778	2578
116	787	2578
117	792	2566
118	798	2555
119	802	2542
120	807	2530
121	813	2519
122	818	2508
123	823	2496
124	827	2483
125	833	2474
126	838	2462
127	843	2450
128	848	2441
129	853	2430
130	858	2418
131	864	2408
132	868	2397
133	873	2386
134	879	2376
135	883	2365
136	888	2354
137	893	2342
138	898	2332
139	902	2321
140	907	2309
141	913	2301
142	918	2292
143	922	2281
144	928	2272
145	932	2261
146	937	2251
147	942	2242
148	947	2231
149	952	2221
150	956	2210
151	962	2203
152	966	2193
153	971	2182
154	979	2179
155	983	2169
156	988	2159
157	994	2151
158	999	2142
159	1003	2133
160	1009	2125
161	1014	2116
162	1019	2107
163	1025	2100
164	1030	2091
165	1034	2082
166	1040	2075
167	1045	2066
168	1050	2057
169	1056	2051
170	1061	2042
171	1066	2033
172	1072	2027
173	1077	2018
174	1082	2009
175	1088	2003
176	1092	1994
177	1097	1985
178	1102	1977
179	1107	1968
180	1112	1959
181	1116	1951
182	1121	1943
183	1126	1934
184	1131	1926
185	1137	1919
186	1141	1911
187	1146	1902
188	1151	1894
189	1156	1886
190	1162	1880
191	1168	1873
192	1173	1866
193	1178	1858
194	1184	1852
195	1189	1845
196	1194	1837
197	1199	1829
198	1204	1821
199	1209	1813
200	1213	1805
201	1219	1799
202	1224	1791
203	1229	1783
204	1234	1776
205	1239	1768
206	1243	1760
207	1249	1754
208	1254	1746
209	1258	1738
210	1265	1732
211	1269	1724
212	1274	1717
213	1280	1711
214	1285	1703
215	1289	1695
216	1296	1690
217	1301	1682
218	1305	1675
219	1310	1667
220	1314	1659
221	1319	1652
222	1323	1644
223	1329	1637
224	1333	1629
225	1337	1621
226	1342	1614
227	1347	1607
228	1351	1599
229	1355	1591
230	1361	1585
231	1365	1577
232	1370	1570
233	1375	1563
234	1379	1556
235	1384	1548
236	1389	1541
237	1394	1534
238	1399	1527
239	1403	1520
240	1409	1515
241	1414	1508
242	1419	1501
243	1425	1495
244	1430	1488
245	1434	1481
246	1440	1475
247	1444	1468
248	1449	1461
249	1454	1454
250	1459	1447
251	1463	1440
252	1468	1433
253	1473	1427
254	1478	1420
255	1483	1413
256	1489	1408
257	1494	1401
258	1498	1394
259	1504	1388
260	1510	1382
261	1514	1376
262	1520	1370
263	1525	1363
264	1529	1356
265	1535	1350
266	1541	1345
267	1546	1339
268	1552	1333
269	1557	1326
270	1561	1319
271	1566	1312
272	1571	1306
273	1575	1299
274	1579	1292
275	1585	1286
276	1590	1280
277	1594	1273
278	1599	1267
279	1604	1260
280	1608	1253
281	1613	1247
282	1618	1241
283	1622	1234
284	1626	1227
